ITEM_NAME,ERP_CODE,CLOSING,NAME,UNIT,ICAT,CPARTNO,CUST_REF,RATE,CAL_VALUE,PREFX,IWEIGHT,LABRCHG,IRATE1,IH_VALUE,TOT_VAL,GRP,STAGE,CLOSING_WT,FG_REF,,
FP COMB BUSBAR END CAP_ST12205_ECP04F,34010274,205,61. ASSEMBLY  N4,NOS,DOM,-,-,8.12,1665,,0,0,0,0,1665,3401,61,0,,,
HEIGHT ADJUSTER BIG-CB50932,34010134,758,61. ASSEMBLY  N4,NOS,DOM,-,-,0.16,121,,0,0,0,0,121,3401,61,0,,,
HOUSING VTPN-CB50901,34010124,442,61. ASSEMBLY  N4,NOS,DOM,-,-,15.9,7028,,0,0,0,0,7028,3401,61,0,,,
I/C INSULATOR SHROUD 125A,34010020,505,61. ASSEMBLY  N4,NOS,-,P/G3578A,0,11.73,5924,,0,0,0,0,5924,3401,61,0,,,
I/C INSULATOR SHROUD 250A,34010021,153,61. ASSEMBLY  N4,NOS,-,P/G3584A,0,11.91,1822,,0,0,0,0,1822,3401,61,0,,,
INSULATOR BASE 2M (125/250) (P/G3574A),34010027,1210,61. ASSEMBLY  N4,NOS,-,-,0,9.55,11556,,0,0,0,0,11556,3401,61,0,,,
INSULATOR BASE 4M 125A (P/G3576A),34010028,538,61. ASSEMBLY  N4,NOS,-,P/G3576A,0,23.61,12702,,0,0,0,0,12702,3401,61,0,,,
INSULATOR BASE 4M 250A,34010029,153,61. ASSEMBLY  N4,NOS,-,P/G3806A,0,22.94,3510,,0,0,0,0,3510,3401,61,0,,,
INSULATOR COVER 2M (125/250) (P/G3575A),34010030,945,61. ASSEMBLY  N4,NOS,-,-,0,7.85,7418,,0,0,0,0,7418,3401,61,0,,,
INSULATOR COVER 4M 125A (P/G3577A),34010031,480,61. ASSEMBLY  N4,NOS,-,P/G3577A,0,19.16,9197,,0,0,0,0,9197,3401,61,0,,,
INSULATOR COVER 4M 250A,34010032,199,61. ASSEMBLY  N4,NOS,-,P/G3807A,0,18.26,3634,,0,0,0,0,3634,3401,61,0,,,
INSULATOR PLATE BACKSIDE (125/250),34010033,376,61. ASSEMBLY  N4,NOS,-,P/G3579A,0,1.945,731,,0,0,0,0,731,3401,61,0,,,
KNOB DOOR LATCH DPLS 2538-LEG,34010094,902,61. ASSEMBLY  N4,NOS,DOM,-,-,8.5,7667,,0,0,0,0,7667,3401,61,0,,,
LATCH CAM  PDK02_ST12248,34010303,5,61. ASSEMBLY  N4,NOS,DOM,-,ST12248,2.41,12,,0,0,0,0,12,3401,61,0,,,
LATCH HOUSING  PDK02_ST12246,34010301,5,61. ASSEMBLY  N4,NOS,DOM,-,ST12246,7.63,38,,0,0,0,0,38,3401,61,0,,,
LATCH HOUSING MASS CB50910,34010112,1501,61. ASSEMBLY  N4,NOS,DOM,-,-,2.85,4278,,0,0,0,0,4278,3401,61,0,,,
LATCH SLIDER  PDK02_ST12247,34010302,5,61. ASSEMBLY  N4,NOS,DOM,-,-,6.72,34,,0,0,0,0,34,3401,61,0,,,
